Name,Formula,InChI,smiles,RMM,Latex
A3O2,CH3CH2CH2OO,"InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3","CC(C)O[O]	
",75.044604464,
ACET,CH3C(O)CH3,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"CC(=O)C	
",58.041864812,
ACTA,CH3C(O)OH,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)","CC(=O)O	
",60.021129368,
ALD2,CH3CHO,"InChI=1S/C2H4O/c1-2-3/h2H,1H3","CC=O	
",44.026214748,
ALK4,RH,,,,
ATO2,CH3C(O)CH2O2,,,,
B3O2,CH3CH(OO)CH3,,,,
C2H6,C2H6,InChI=1S/C2H6/c1-2/h1-2H3,"CC	
",30.046950192,
C3H8,C3H8,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3","CCC	
",44.062600256,
CH2O,CH2O,InChI=1S/CH2O/c1-2/h1H2,"C=O	
",30.010564684,
CH4,CH4,InChI=1S/CH4/h1H4,"C	
",16.031300128,
CO,CO,InChI=1S/CO/c1-2,"[C-]#[O+]	
",27.99491462,CO
CO2,CO2,InChI=1S/CO2/c2-1-3,"C(=O)=O	
",43.98982924,CO$_2$
DRYDEP,,,,,
EMISSION,,,,,
EOH,C2H5OH,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3","CCO	
",46.041864812,
ETO2,CH3CH2OO,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3","CCO[O]	
",61.0289544,
ETP,CH3CH2OOH,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3","CCOO	
",62.036779432,
GLYC,HOCH2CHO,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2","C(=O)CO	
",60.021129368,
GLYX,CHOCHO,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,"C(=O)C=O	
",58.005479304,
H2,H2,InChI=1S/H2/h1H,"	
",0,H$_2$
H2O,H2O,InChI=1S/H2O/h1H2,"O	
",18.010564684,H$_2$O
H2O2,H2O2,InChI=1S/H2O2/c1-2/h1-2H,"OO	
",34.005479304,H$_2$O$_2$
HAC,HOCH2C(O)CH3,"InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3","CC(=O)CO	
",74.036779432,
HCOOH,HCOOH,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)","C(=O)O	
",46.005479304,
HNO2,HONO,"InChI=1S/HNO2/c2-1-3/h(H,2,3)","N(=O)O	
",47.000728277,HNO$_2$
HNO3,HNO3,"InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)","N(=O)(=O)O	
",62.995642897,HNO$_3$
HNO4,HNO4,InChI=1S/HNO4/c2-1(3)5-4/h4H,"N(=O)(=O)OO	
",78.990557517,HNO$_4$
HO2,HO2,InChI=1S/H2O2/c1-2/h1-2H/p-1,"[O-]O	
",32.997654272,HO$_2$
IALD,HOCH2C(CH3)=CHCHO,,,,
IAP,HOCH2C(CH3)(OOH)CH(OH)CHO,,,,
INO2,O2NOCH2C(OO)(CH3)CH=CH2,,,,
INPN,O2NOCH2C(OOH)(CH3)CH=CH2,,,,
ISN2,CH2=C(CH3)CH(ONO2)CH2OH,,,,
ISNO3,RONO2,,,,
ISNP,HOCH2C(OOH)(CH3)CH(ONO2)CH2OH,,,,
ISOP,CH2=C(CH3)CH=CH2,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3","C=CC(=C)C	
",68.062600256,
KO2,RO2 from >3 ketones,,,,
M,,,,,
MACR,CH2=C(CH3)CHO,"InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3","C=C(C)C=O	
",70.041864812,
MAN2,HOCH2C(ONO2)(CH3)CHO,,,,
MAO3,CH2=C(CH3)C(O)OO,,,,
MAOP,CH2=C(CH3)C(O)OOH,,,,
MAP,CH3C(O)OOH,"InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3","CC(=O)OO	
",76.016043988,
MCO3,CH3C(O)OO,,,,
MEK,RC(O)R,,,,
MGLY,CH3COCHO,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3","CC(=O)C=O	
",72.021129368,
MNO3,CH3ONO2,InChI=1S/CH3NO3/c1-5-2(3)4/h1H3,"CON(=O)=O	
",77.011292961,
MO2,CH3O2,InChI=1S/CH3O2/c1-3-2/h1H3,"CO[O]	
",47.013304336,
MOH,CH3OH,"InChI=1S/CH4O/c1-2/h2H,1H3","CO	
",32.026214748,
MP,CH3OOH," InChI=1S/CH4O2/c1-3-2/h2H,1H3","COO	
",48.021129368,
MRO2,HOCH2C(OO)(CH3)CHO,,,,
MRP,HOCH2C(OOH)(CH3)CHO,,,,
MVK,CH2=CHC(O)CH3,"InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3","C=CC(=O)C	
",70.041864812,
